iter	Passed	Remaining
492	4292	4413
493	4299	4404
494	4306	4393
495	4318	4388
496	4327	4379
497	4334	4369
498	4359	4376
499	4372	4372
500	4389	4371
501	4405	4370
502	4416	4363
503	4427	4357
504	4437	4349
505	4446	4340
506	4456	4333
507	4466	4326
508	4477	4319
509	4487	4311
510	4497	4303
511	4505	4294
512	4515	4286
513	4522	4276
514	4531	4267
515	4540	4259
516	4549	4250
517	4557	4240
518	4566	4231
519	4574	4222
520	4583	4213
521	4591	4204
522	4599	4194
523	4607	4185
524	4615	4175
525	4624	4167
526	4633	4158
527	4641	4148
528	4649	4139
529	4657	4129
530	4664	4119
531	4673	4110
532	4680	4100
533	4689	4091
534	4697	4083
535	4711	4078
536	4719	4069
537	4727	4059
538	4735	4049
539	4742	4040
540	4750	4030
541	4757	4020
542	4765	4010
543	4772	4000
544	4779	3990
545	4787	3980
546	4796	3972
547	4804	3962
548	4812	3953
549	4820	3943
550	4828	3934
551	4836	3924
552	4843	3915
553	4851	3905
554	4858	3895
555	4865	3885
556	4872	3875
557	4880	3865
558	4887	3855
559	4894	3845
560	4902	3836
561	4909	3826
562	4918	3817
563	4926	3808
564	4935	3799
565	4942	3790
566	4951	3781
567	4958	3771
568	4966	3761
569	4974	3752
570	4981	3742
571	4989	3733
572	4996	3723
573	5004	3714
574	5013	3705
575	5020	3695
576	5029	3686
577	5035	3676
578	5043	3667
579	5050	3657
580	5057	3647
581	5065	3638
582	5073	3628
583	5081	3619
584	5090	3611
585	5098	3601
586	5106	3592
587	5113	3582
588	5120	3573
589	5128	3563
590	5136	3554
591	5145	3546
592	5153	3536
593	5161	3527
594	5169	3518
595	5176	3509
596	5183	3499
597	5191	3490
598	5199	3480
599	5207	3471
600	5215	3462
601	5223	3453
602	5232	3444
603	5239	3435
604	5247	3426
605	5254	3416
606	5262	3407
607	5270	3397
608	5276	3387
609	5284	3378
610	5291	3368
611	5299	3359
612	5307	3350
613	5314	3341
614	5322	3332
615	5330	3322
616	5338	3313
617	5346	3304
618	5353	3295
619	5361	3285
620	5368	3276
621	5377	3267
622	5384	3258
623	5392	3249
624	5399	3239
625	5407	3230
626	5415	3221
627	5423	3212
628	5431	3203
629	5438	3194
630	5446	3185
631	5454	3176
632	5462	3166
633	5470	3157
634	5479	3149
635	5486	3140
636	5494	3130
637	5501	3121
638	5509	3112
639	5517	3103
640	5524	3093
641	5531	3084
642	5539	3075
643	5547	3066
644	5556	3058
645	5565	3049
646	5574	3041
647	5582	3032
648	5591	3023
649	5599	3015
650	5606	3005
651	5614	2996
652	5622	2987
653	5630	2978
654	5638	2969
655	5646	2960
656	5654	2952
657	5662	2943
658	5670	2934
659	5678	2925
660	5688	2917
661	5696	2908
662	5704	2899
663	5711	2890
664	5718	2880
665	5726	2871
666	5733	2862
667	5740	2853
668	5748	2844
669	5755	2835
670	5764	2826
671	5772	2817
672	5778	2807
673	5785	2798
674	5793	2789
675	5801	2780
676	5809	2771
677	5816	2762
678	5825	2754
679	5832	2744
680	5839	2735
681	5847	2726
682	5856	2717
683	5863	2709
684	5871	2700
685	5879	2690
686	5886	2682
687	5894	2673
688	5901	2663
689	5909	2654
690	5918	2646
691	5926	2637
692	5933	2628
693	5941	2619
694	5949	2611
695	5957	2602
696	5965	2593
697	5972	2584
698	5981	2575
699	5988	2566
700	5997	2558
701	6005	2549
702	6012	2540
703	6020	2531
704	6028	2522
705	6035	2513
706	6043	2504
707	6050	2495
708	6057	2486
709	6065	2477
710	6074	2468
711	6081	2459
712	6088	2450
713	6095	2441
714	6103	2432
715	6110	2423
716	6118	2414
717	6126	2406
718	6134	2397
719	6140	2388
720	6147	2378
721	6155	2370
722	6162	2360
723	6169	2351
724	6176	2342
725	6184	2333
726	6191	2325
727	6199	2316
728	6206	2307
729	6214	2298
730	6222	2289
731	6230	2281
732	6237	2272
733	6245	2263
734	6253	2254
735	6261	2245
736	6268	2236
737	6276	2228
738	6283	2219
739	6293	2211
740	6301	2202
741	6308	2193
742	6316	2184
743	6324	2176
744	6332	2167
745	6339	2158
746	6347	2149
747	6355	2141
748	6363	2132
749	6371	2123
750	6378	2114
751	6385	2105
752	6393	2097
753	6401	2088
754	6408	2079
755	6417	2071
756	6424	2062
757	6432	2053
758	6439	2044
759	6448	2036
760	6456	2027
761	6463	2018
762	6471	2010
763	6478	2001
764	6486	1992
765	6494	1983
766	6501	1975
767	6510	1966
768	6519	1958
769	6526	1949
770	6535	1941
771	6543	1932
772	6551	1924
773	6560	1915
774	6567	1906
775	6575	1898
776	6583	1889
777	6590	1880
778	6598	1871
779	6605	1863
780	6613	1854
781	6622	1846
782	6631	1837
783	6639	1829
784	6646	1820
785	6654	1811
786	6664	1803
787	6672	1795
788	6680	1786
789	6687	1777
790	6695	1769
791	6703	1760
792	6711	1751
793	6718	1743
794	6725	1734
795	6733	1725
796	6741	1717
797	6750	1708
798	6757	1700
799	6765	1691
800	6774	1682
801	6781	1674
802	6788	1665
803	6795	1656
804	6804	1648
805	6811	1639
806	6820	1631
807	6828	1622
808	6838	1614
809	6847	1606
810	6855	1597
811	6864	1589
812	6872	1580
813	6880	1572
814	6887	1563
815	6896	1555
816	6903	1546
817	6910	1537
818	6918	1528
819	6926	1520
820	6933	1511
821	6941	1503
822	6948	1494
823	6956	1485
824	6963	1477
825	6972	1468
826	6979	1460
827	6987	1451
828	6994	1442
829	7002	1434
830	7009	1425
831	7018	1417
832	7026	1408
833	7034	1400
834	7041	1391
835	7047	1382
836	7055	1373
837	7062	1365
838	7069	1356
839	7077	1348
840	7085	1339
841	7092	1330
842	7100	1322
843	7107	1313
844	7115	1305
845	7124	1296
846	7132	1288
847	7139	1279
848	7146	1271
849	7154	1262
850	7162	1254
851	7169	1245
852	7177	1236
853	7184	1228
854	7192	1219
855	7200	1211
856	7207	1202
857	7215	1194
858	7224	1185
859	7232	1177
860	7240	1168
861	7248	1160
862	7256	1151
863	7266	1143
864	7274	1135
865	7284	1127
866	7292	1118
867	7301	1110
868	7309	1101
869	7318	1093
870	7327	1085
871	7336	1076
872	7346	1068
873	7354	1060
874	7363	1051
875	7371	1043
876	7379	1034
877	7386	1026
878	7393	1017
879	7401	1009
880	7410	1000
881	7418	992
882	7426	984
883	7434	975
884	7442	967
885	7449	958
886	7457	950
887	7465	941
888	7473	933
889	7481	924
890	7489	916
891	7497	907
892	7504	899
893	7513	890
894	7520	882
895	7528	873
896	7535	865
897	7543	856
898	7551	848
899	7559	839
900	7567	831
901	7575	823
902	7583	814
903	7591	806
904	7598	797
905	7606	789
906	7615	780
907	7623	772
908	7631	764
909	7642	755
910	7650	747
911	7658	738
912	7665	730
913	7674	722
914	7682	713
915	7689	705
916	7698	696
917	7706	688
918	7714	679
919	7722	671
920	7730	663
921	7739	654
922	7746	646
923	7755	637
924	7764	629
925	7771	621
926	7779	612
927	7786	604
928	7795	595
929	7804	587
930	7811	578
931	7818	570
932	7827	562
933	7835	553
934	7843	545
935	7851	536
936	7859	528
937	7866	519
938	7875	511
939	7884	503
940	7892	494
941	7900	486
942	7908	478
943	7915	469
944	7922	461
945	7930	452
946	7937	444
947	7946	435
948	7953	427
949	7961	419
950	7969	410
951	7976	402
952	7984	393
953	7992	385
954	8000	376
955	8007	368
956	8015	360
957	8023	351
958	8030	343
959	8038	334
960	8045	326
961	8053	318
962	8061	309
963	8069	301
964	8076	292
965	8084	284
966	8092	276
967	8101	267
968	8109	259
969	8117	251
970	8125	242
971	8132	234
972	8140	225
973	8147	217
974	8156	209
975	8163	200
976	8171	192
977	8179	183
978	8188	175
979	8196	167
980	8204	158
981	8211	150
982	8218	142
983	8225	133
984	8233	125
985	8242	117
986	8251	108
987	8260	100
988	8269	91
989	8277	83
990	8284	75
991	8292	66
992	8301	58
993	8308	50
994	8317	41
995	8325	33
996	8332	25
997	8339	16
998	8347	8
999	8355	0
