iter	RMSE
291	104.200036
292	104.1858005
293	104.1691877
294	104.1601237
295	104.141075
296	104.1344722
297	104.1198445
298	104.0987083
299	104.0972583
300	104.0788058
301	104.0718812
302	104.058452
303	104.0352049
304	103.9699001
305	103.9656564
306	103.9427155
307	103.9294479
308	103.9139156
309	103.9000724
310	103.883154
311	103.8701568
312	103.8410394
313	103.8133843
314	103.8039019
315	103.7959053
316	103.7697323
317	103.7552296
318	103.7512958
319	103.7228944
320	103.7011971
321	103.6882843
322	103.6854944
323	103.6734894
324	103.6730641
325	103.6619741
326	103.6473852
327	103.644517
328	103.6244713
329	103.6086611
330	103.5819222
331	103.5686132
332	103.5519966
333	103.528963
334	103.5214383
335	103.5046358
336	103.4926796
337	103.4810887
338	103.4633888
339	103.4621872
340	103.4547465
341	103.4483627
342	103.4459511
343	103.4424351
344	103.4286796
345	103.3931475
346	103.3803521
347	103.3799578
348	103.3712995
349	103.358085
350	103.3295392
351	103.3194152
352	103.3079775
353	103.297321
354	103.2781533
355	103.2688311
356	103.2469298
357	103.227471
358	103.2180912
359	103.1860958
360	103.185426
361	103.1721835
362	103.1627655
363	103.15917
364	103.1390148
365	103.1171347
366	103.0822417
367	103.0635286
368	103.0411284
369	103.0407675
370	103.0317379
371	103.0182106
372	103.0059583
373	102.9946824
374	102.9821849
375	102.9635102
376	102.9446561
377	102.9260954
378	102.908683
379	102.8895948
380	102.8654902
381	102.8294319
382	102.8178149
383	102.8104841
384	102.7896806
385	102.7796554
386	102.7622592
387	102.7472496
388	102.7332625
389	102.7134193
390	102.709796
391	102.6948471
392	102.68553
393	102.6787349
394	102.6635172
395	102.6545505
396	102.6337979
397	102.6189963
398	102.5800153
399	102.5537716
400	102.5454004
401	102.5450595
402	102.5244082
403	102.5078778
404	102.4964989
405	102.4875569
406	102.487233
407	102.4594667
408	102.4558302
409	102.4413488
410	102.37021
411	102.3675629
412	102.3596444
413	102.3364666
414	102.3238049
415	102.3154413
416	102.3076579
417	102.2933418
418	102.2869559
419	102.2756181
420	102.2718063
421	102.2479212
422	102.2310232
423	102.217847
424	102.2016973
425	102.1925369
426	102.1805868
427	102.173336
428	102.1634698
429	102.15845
430	102.1502584
431	102.1414119
432	102.1410773
433	102.1299755
434	102.1224426
435	102.1067126
436	102.0960898
437	102.0862806
438	102.0525006
439	102.0229238
440	102.0136238
441	102.0077105
442	101.9982397
443	101.9730579
444	101.9598084
445	101.94815
446	101.9396004
447	101.9244227
448	101.9223023
449	101.91339
450	101.8906607
451	101.8828508
452	101.8715862
453	101.860275
454	101.8512013
455	101.8370066
456	101.8135469
457	101.8017862
458	101.7833361
459	101.7698791
460	101.7649523
461	101.7520931
462	101.7390776
463	101.7278996
464	101.7275701
465	101.7174433
466	101.7111189
467	101.7108061
468	101.695481
469	101.688556
470	101.6822465
471	101.6704022
472	101.6539737
473	101.6460076
474	101.6088068
475	101.5923213
476	101.5920509
477	101.5861217
478	101.554218
479	101.513642
480	101.4966661
481	101.4862622
482	101.4650267
483	101.4476435
484	101.4388399
485	101.4100739
486	101.4072243
487	101.3960093
488	101.3822918
489	101.3672732
490	101.3495095
491	101.343102
492	101.337637
493	101.3316727
494	101.3167582
495	101.2996216
496	101.2894712
497	101.2783834
498	101.2696662
499	101.2694098
500	101.2555509
501	101.2407894
502	101.210954
503	101.2000763
504	101.1860436
505	101.1820965
506	101.1742146
507	101.1660512
508	101.1642139
509	101.1501796
510	101.1314257
511	101.1238333
512	101.1177668
513	101.1174918
514	101.108553
515	101.0968847
516	101.0894734
517	101.0862049
518	101.0806989
519	101.0733045
520	101.0581813
521	101.0447942
522	101.0381043
523	101.0297931
524	101.0245868
525	101.0121633
526	101.002084
527	101.0018448
528	100.9889685
529	100.9770389
530	100.9733575
531	100.9542714
532	100.9449173
533	100.937892
534	100.9339317
535	100.9105269
536	100.906296
537	100.874808
538	100.8615525
539	100.8493842
540	100.8302701
541	100.8222
542	100.7981841
543	100.7838898
544	100.7764883
545	100.7697669
546	100.7540914
547	100.7412417
548	100.7327046
549	100.7228668
550	100.7111437
551	100.7079037
552	100.7012721
553	100.698363
554	100.6817063
555	100.6618252
556	100.6581049
557	100.6428443
558	100.6426133
559	100.6304187
560	100.6229998
561	100.5923219
562	100.5867563
563	100.5645616
564	100.5566707
565	100.5375896
566	100.5271348
567	100.5221051
568	100.5146769
569	100.4931003
570	100.4878329
571	100.4536125
572	100.4404811
573	100.4348589
574	100.4341327
575	100.4286227
576	100.4202626
577	100.4107316
578	100.3879854
579	100.3770835
580	100.3745502
581	100.3601637
582	100.357496
583	100.3484601
584	100.3226449
585	100.3029404
586	100.2940965
587	100.2938277
588	100.2820906
589	100.2558422
590	100.2449812
591	100.2312402
592	100.215377
593	100.2033601
594	100.1939887
595	100.1865871
596	100.1753359
597	100.1621615
598	100.1315085
599	100.1265428
600	100.1171896
601	100.113604
602	100.1055382
603	100.0961346
604	100.0834113
605	100.0800012
606	100.0691717
607	100.0602782
608	100.0600691
609	100.0489554
610	100.0295033
611	100.0190981
612	100.0093436
613	100.0001883
614	99.99158649
615	99.98349692
616	99.97400427
617	99.96507302
618	99.95804082
619	99.95141842
620	99.94352078
621	99.93607144
622	99.92903777
623	99.92239068
624	99.91610403
625	99.91015428
626	99.90452004
627	99.89918186
628	99.89451303
629	99.89011994
630	99.885357
631	99.88084071
632	99.87655685
633	99.87246108
634	99.86857639
635	99.86529151
636	99.86155744
637	99.84609117
638	99.78580275
639	99.78273906
640	99.77917471
641	99.76545905
642	99.76196033
643	99.7533804
644	99.75005827
645	99.69418502
646	99.69097015
647	99.68232783
648	99.67595569
649	99.66680531
650	99.66660418
651	99.663573
652	99.65596427
653	99.64420586
654	99.63651267
655	99.63358052
656	99.61400714
657	99.60861619
658	99.59911968
659	99.58895639
660	99.58305018
661	99.55270835
662	99.53987999
663	99.53052207
664	99.52825518
665	99.51829897
666	99.518106
667	99.51316338
668	99.48875241
669	99.47944097
670	99.47369646
671	99.47036472
672	99.46845391
673	99.46669339
674	99.46135568
675	99.45456256
676	99.43183769
677	99.41793927
678	99.41536175
679	99.41150589
680	99.39280344
681	99.36394033
682	99.35593001
683	99.35464652
684	99.34910589
685	99.32354922
686	99.31525863
687	99.3008812
688	99.29446844
689	99.28475367
690	99.28230009
691	99.27459472
692	99.27306384
693	99.26797211
694	99.25773646
695	99.2481406
696	99.24221438
697	99.22203561
698	99.20433047
699	99.19393172
700	99.18805989
701	99.18537846
702	99.18375078
703	99.17535488
704	99.15291135
705	99.14890776
706	99.1396197
707	99.12261189
708	99.11611595
709	99.11090045
710	99.1023393
711	99.06604015
712	99.04752971
713	99.03875455
714	99.03692524
715	99.02533979
716	99.01184921
717	99.00783537
718	99.00553687
719	99.00535627
720	98.99484093
721	98.98357785
722	98.9751582
723	98.96876777
724	98.96014338
725	98.94223792
726	98.94003115
727	98.9354533
728	98.93459902
729	98.91437376
730	98.90855281
731	98.89506465
732	98.89429889
733	98.89412692
734	98.86390634
735	98.86132256
736	98.85474381
737	98.84624428
738	98.83250883
739	98.82688342
740	98.80951368
741	98.80239652
742	98.7991727
743	98.77978855
744	98.77242329
745	98.76316283
746	98.72637708
747	98.70964398
748	98.6891007
749	98.68257631
750	98.65395668
751	98.65379255
752	98.62698754
753	98.6248168
754	98.61974578
755	98.59090037
756	98.57938877
757	98.56820912
758	98.55996896
759	98.55294188
760	98.54087232
761	98.5276392
762	98.49978365
763	98.49277359
764	98.48352803
765	98.46839311
766	98.46637012
767	98.44585675
768	98.42708018
769	98.41895905
770	98.3946482
771	98.39290754
772	98.36624007
773	98.33666829
774	98.33086894
775	98.3236372
776	98.31857439
777	98.31525737
778	98.30357259
779	98.29631146
780	98.29005201
781	98.28232792
782	98.27097253
783	98.26998139
784	98.2459229
785	98.22573717
786	98.22180303
787	98.20286244
788	98.18896711
789	98.18561546
790	98.16723737
791	98.16180096
792	98.15161317
793	98.1489566
794	98.14598509
795	98.14304263
796	98.11704461
797	98.10934625
798	98.09112128
799	98.08018368
800	98.07614218
801	98.07035503
802	98.07019915
803	98.05226209
804	98.03574375
805	98.0298522
806	98.01354538
807	98.00303942
808	97.99109719
809	97.9837602
810	97.96946647
811	97.96126892
812	97.95678235
813	97.95397757
814	97.94823514
815	97.94459903
816	97.94309759
817	97.9377501
818	97.93011391
819	97.92150038
820	97.89351404
821	97.88182111
822	97.87702884
823	97.86203593
824	97.85646116
825	97.83929125
826	97.82792398
827	97.8216718
828	97.81616134
829	97.81146133
830	97.80677194
831	97.80252166
832	97.79856866
833	97.79206283
834	97.78163309
835	97.78077913
836	97.77708737
837	97.77233303
838	97.74953729
839	97.74311077
840	97.73101087
841	97.72482337
842	97.72143108
843	97.71821277
844	97.71472936
845	97.71182633
846	97.70847661
847	97.70591693
848	97.69611293
849	97.68984582
850	97.68432015
851	97.67913993
852	97.67300903
853	97.67052438
854	97.66233278
855	97.65641666
856	97.65396476
857	97.64771144
858	97.63401102
859	97.60425424
860	97.59934036
861	97.59477939
862	97.56859137
863	97.55835048
864	97.54927611
865	97.53034011
866	97.51771167
867	97.51498778
868	97.50662656
869	97.49531486
870	97.49107108
871	97.47710708
872	97.47412696
873	97.45342866
874	97.44969966
875	97.445754
876	97.43189684
877	97.42190054
878	97.41822999
879	97.41481305
880	97.40866066
881	97.40186261
882	97.39019887
883	97.36652894
884	97.36080949
885	97.35579129
886	97.34269734
887	97.3398725
888	97.32741848
889	97.31915568
890	97.30730131
891	97.29537934
892	97.27177186
893	97.24959002
894	97.22997403
895	97.22673272
896	97.22354374
897	97.21679733
898	97.21382838
899	97.20962765
900	97.20470383
901	97.19780172
902	97.17952091
903	97.17025895
904	97.16501947
905	97.15473248
906	97.13567841
907	97.13094655
908	97.11092681
909	97.09951472
910	97.0970129
911	97.08893251
912	97.08616041
913	97.0700697
914	97.06754353
915	97.05876905
916	97.04393671
917	97.0334477
918	97.02768568
919	97.02360848
920	97.00633864
921	96.99507788
922	96.99129438
923	96.98173051
924	96.96687752
925	96.9645726
926	96.94199526
927	96.94003538
928	96.92576543
929	96.92006897
930	96.91819409
931	96.91578054
932	96.90355689
933	96.88591982
934	96.86885668
935	96.86444213
936	96.85484364
937	96.84809987
938	96.83469319
939	96.82758106
940	96.81937387
941	96.81358389
942	96.80197346
943	96.76886957
944	96.76335648
945	96.75809647
946	96.75471928
947	96.73021784
948	96.72601629
949	96.72348836
950	96.71320399
951	96.7091431
952	96.69437401
953	96.67753231
954	96.66651687
955	96.65375999
956	96.64376377
957	96.61904431
958	96.61365816
959	96.60294583
960	96.59973114
961	96.57822605
962	96.57151889
963	96.55954069
964	96.55691611
965	96.54138138
966	96.53889195
967	96.52791171
968	96.52587773
969	96.50231779
970	96.4941805
971	96.49043865
972	96.46465081
973	96.45478243
974	96.44071208
975	96.43947017
976	96.42420407
977	96.41648124
978	96.3939691
979	96.38360922
980	96.36871629
981	96.36224179
982	96.36042867
983	96.35777419
984	96.35138099
985	96.34356711
986	96.33301069
987	96.3268454
988	96.31458581
989	96.30730085
990	96.30398642
991	96.29961587
992	96.29272584
993	96.28912177
994	96.28520172
995	96.27812401
996	96.27029042
997	96.25578345
998	96.25442097
999	96.25195734
